neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AEDCAN3,MOSQUITO,True,89964,Aedes canadensis canadensis,,Aedes canadensis canadensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes canadensis,Aedes canadensis canadensis,,,,,,
AEDCAS,MOSQUITO,True,132246,Aedes caspius,,Aedes caspius,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,Aedes (Ochlerotatus),,,Aedes caspius,,,,,,,
AEDCAS1,MOSQUITO,True,145775,Aedes caspius caspius,,Aedes caspius caspius,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,Aedes (Ochlerotatus),,,Aedes caspius,Aedes caspius caspius,,,,,,
AEDCAT,MOSQUITO,True,80837,Aedes cataphylla,,Aedes cataphylla,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes cataphylla,,,,,,,
AEDCIN,MOSQUITO,True,80839,Aedes cinereus,,Aedes cinereus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes cinereus,,,,,,,
AEDCLI,MOSQUITO,True,80842,Aedes clivis,,Aedes clivis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes clivis,,,,,,,
AEDCOM,MOSQUITO,True,80816,Aedes communis,,Aedes communis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes communis,,,,,,,
AEDCON,MOSQUITO,True,80843,Aedes condolescens,,Aedes condolescens,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes condolescens,,,,,,,
AEDDAH,MOSQUITO,True,132247,Aedes dahlae,,Aedes dahlae,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,Aedes (Ochlerotatus),,,Aedes dahlae,,,,,,,
AEDDEC,MOSQUITO,True,80846,Aedes decticus,,Aedes decticus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes decticus,,,,,,,
AEDDES,MOSQUITO,True,80847,Aedes deserticola,,Aedes deserticola,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes deserticola,,,,,,,
AEDDET,MOSQUITO,True,132248,Aedes detritus,,Aedes detritus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,Aedes (Ochlerotatus),,,Aedes detritus,,,,,,,
AEDDIA,MOSQUITO,True,80848,Aedes diantaeus,,Aedes diantaeus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes diantaeus,,,,,,,
AEDDOR,MOSQUITO,True,80849,Aedes dorsalis,,Aedes dorsalis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes dorsalis,,,,,,,
AEDDUP,MOSQUITO,True,80850,Aedes dupreei,,Aedes dupreei,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes dupreei,,,,,,,
AEDEPA,MOSQUITO,True,86028,Aedes epactius,,Aedes epactius,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes epactius,,,,,,,
AEDEUE,MOSQUITO,True,80857,Aedes euedes,,Aedes euedes,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes euedes,,,,,,,
AEDEXC,MOSQUITO,True,80851,Aedes excrucians,,Aedes excrucians,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes excrucians,,,,,,,
AEDFIT,MOSQUITO,True,80861,Aedes fitchii,,Aedes fitchii,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes fitchii,,,,,,,
AEDFLA,MOSQUITO,True,80862,Aedes flavescens,,Aedes flavescens,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes flavescens,,,,,,,
AEDFUL,MOSQUITO,True,89965,Aedes fulvus pallens,,Aedes fulvus pallens,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes fulvus,Aedes fulvus pallens,,,,,,
AEDFUL1,MOSQUITO,True,80863,Aedes fulvus,,Aedes fulvus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes fulvus,,,,,,,
AEDFUL2,MOSQUITO,True,145776,Aedes fulvus fulvus,,Aedes fulvus fulvus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes fulvus,Aedes fulvus fulvus,,,,,,
AEDGRO,MOSQUITO,True,80868,Aedes grossbecki,,Aedes grossbecki,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes grossbecki,,,,,,,
AEDHEN,MOSQUITO,True,80875,Aedes hendersoni,,Aedes hendersoni,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes hendersoni,,,,,,,
AEDHEX,MOSQUITO,True,80844,Aedes hexodontus,,Aedes hexodontus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes hexodontus,,,,,,,
AEDIMP,MOSQUITO,True,80878,Aedes impiger,,Aedes impiger,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes impiger,,,,,,,
