neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ELEBRI,HERPETOLOGY,True,80047,Eleutherodactylus brittoni,,Eleutherodactylus brittoni,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus brittoni,,,,,,,
ELECOC,HERPETOLOGY,True,80048,Eleutherodactylus cochranae,,Eleutherodactylus cochranae,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus cochranae,,,,,,,
ELECOO,HERPETOLOGY,True,80049,Eleutherodactylus cooki,,Eleutherodactylus cooki,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus cooki,,,,,,,
ELECOQ,HERPETOLOGY,True,80050,Eleutherodactylus coqui,,Eleutherodactylus coqui,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus coqui,,,,,,,
ELECYS,HERPETOLOGY,True,80051,Eleutherodactylus cystignathoides,,Eleutherodactylus cystignathoides,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus cystignathoides,,,,,,,
ELECYS2,HERPETOLOGY,True,88577,Eleutherodactylus cystignathoides campi,,Eleutherodactylus cystignathoides campi,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus cystignathoides,Eleutherodactylus cystignathoides campi,,,,,,
ELEENE,HERPETOLOGY,True,80052,Eleutherodactylus eneidae,,Eleutherodactylus eneidae,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus eneidae,,,,,,,
ELEGRY,HERPETOLOGY,True,80053,Eleutherodactylus gryllus,,Eleutherodactylus gryllus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus gryllus,,,,,,,
ELEGUT,HERPETOLOGY,True,80054,Eleutherodactylus guttilatus,,Eleutherodactylus guttilatus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus guttilatus,,,,,,,
ELEHED,HERPETOLOGY,True,80055,Eleutherodactylus hedricki,,Eleutherodactylus hedricki,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Eleutherodactylidae,,,,Eleutherodactylus,,,,Eleutherodactylus hedricki,,,,,,,
